temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,solar_radiation,pollutant_value,precipitation_rate,precipitation_total,place,city,state
25.491666666666664,1006.7991666666667,25.400000000000002,99.0,0.15833333333333333,2.4583333333333335,25.491666666666664,0.4166666666666667,,,100.01666666666667,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
27.95,1007.6141666666667,26.291666666666668,90.88333333333333,0.8416666666666667,3.5666666666666664,27.95,2.0,,,268.53333333333336,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
31.491666666666664,1007.7933333333334,25.925,72.41666666666667,1.2833333333333334,4.291666666666667,31.491666666666664,4.0,,,482.98333333333335,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
32.15833333333333,1007.3775,25.516666666666666,67.91666666666667,2.091666666666667,5.675,32.15833333333333,5.666666666666667,,,672.1333333333333,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
33.025,1006.8204166666666,25.175,63.4,2.066666666666667,5.691666666666666,33.025,6.25,,,722.5749999999999,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
33.25833333333333,1006.0195833333333,25.083333333333332,62.225,2.9416666666666664,7.616666666666667,33.25833333333333,3.5,,,434.05,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
31.675,1005.2608333333333,25.325,69.11666666666666,2.908333333333333,6.891666666666667,31.675,0.75,,,140.275,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
32.358333333333334,1004.2954166666667,25.241666666666664,66.24166666666666,2.9916666666666667,7.766666666666667,32.358333333333334,3.0,,,356.59999999999997,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
32.15,1004.0216666666666,26.53333333333333,72.50833333333334,3.4166666666666665,8.833333333333334,32.15,1.1666666666666667,,,176.70833333333334,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
28.675,1004.29625,26.258333333333336,86.85000000000001,2.1999999999999997,5.983333333333333,28.675,0.0,,,65.64999999999999,,5.4,2.3,Presint 11,Putrajaya,Putrajaya
28.141666666666666,1004.5720833333334,26.675,91.75,0.9416666666666668,3.391666666666667,28.141666666666666,0.0,,,25.2,,0.0,3.5999999999999996,Presint 11,Putrajaya,Putrajaya
27.7,1005.2479166666667,26.433333333333334,92.73333333333333,0.9416666666666668,3.6750000000000003,27.7,0.0,,,1.4000000000000001,,0.0,3.5999999999999996,Presint 11,Putrajaya,Putrajaya
27.391666666666666,1005.9979166666667,26.258333333333336,93.25833333333333,0.5833333333333334,2.6833333333333336,27.391666666666666,0.0,,,0.0,,0.0,3.5999999999999996,Presint 11,Putrajaya,Putrajaya
26.925,1006.82,26.075,94.83333333333333,0.30833333333333335,2.2916666666666665,26.925,0.0,,,0.0,,0.0,3.5999999999999996,Presint 11,Putrajaya,Putrajaya
26.741666666666664,1007.3216666666667,26.09166666666667,96.23333333333333,0.26666666666666666,2.1,26.741666666666664,0.0,,,0.0,,0.0,3.5999999999999996,Presint 11,Putrajaya,Putrajaya
26.675,1007.3070833333333,26.175,97.0,0.3833333333333333,2.2583333333333333,26.675,0.0,,,0.0,,0.0,3.5999999999999996,Presint 11,Putrajaya,Putrajaya
26.575,1007.0916666666667,26.224999999999998,97.74166666666667,0.4083333333333334,2.5500000000000003,26.575,0.0,,,0.0,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
26.241666666666664,1006.61625,26.016666666666666,98.39166666666667,0.39166666666666666,2.591666666666667,26.241666666666664,0.0,,,0.0,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
25.71666666666667,1005.8762499999999,25.575,98.75,0.125,2.191666666666667,25.71666666666667,0.0,,,0.0,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
25.458333333333332,1005.4745833333333,25.28333333333333,98.61666666666667,0.125,2.308333333333333,25.458333333333332,0.0,,,0.0,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
25.224999999999998,1005.0104166666666,25.125,99.0,0.1416666666666667,1.9833333333333334,25.224999999999998,0.0,,,0.0,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
25.041666666666668,1005.1129166666666,24.925,99.0,0.16666666666666666,2.175,25.041666666666668,0.0,,,0.0,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
24.983333333333334,1005.34875,24.88333333333333,99.0,0.15833333333333333,2.033333333333333,24.983333333333334,0.0,,,0.0,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
24.88333333333333,1005.66,24.791666666666668,99.0,0.15,1.9416666666666667,24.88333333333333,0.0,,,6.4750000000000005,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
25.008333333333336,1006.4216666666666,24.900000000000002,98.91666666666667,0.6083333333333333,3.3000000000000003,25.008333333333336,0.0,,,29.858333333333334,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
27.016666666666666,1007.24625,25.316666666666666,90.3,0.4083333333333334,3.141666666666667,27.016666666666666,0.8333333333333334,,,160.90833333333333,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
29.025000000000002,1007.5720833333334,25.933333333333334,83.41666666666667,0.9333333333333332,3.466666666666667,29.025000000000002,2.0833333333333335,,,286.94166666666666,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
30.583333333333332,1007.3475,25.849999999999998,75.95,1.8499999999999999,5.3,30.583333333333332,3.5,,,434.825,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
31.083333333333332,1006.5579166666666,25.958333333333332,74.10000000000001,0.725,3.6,31.083333333333332,2.8333333333333335,,,365.43333333333334,,0.0,0.0,Presint 11,Putrajaya,Putrajaya
